,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
17306261,9600049092271825,1,0,1,0,0.0,0.0,71.0,True,69.0,1
22929246,9600213397471825,1,0,1,1,110.0,49.0,12.0,True,-15.0,1
17553322,9600052948761825,0,0,1,0,56.49,0.0,352.0,True,326.0,1
2781767,9500048713111825,1,0,0,1,103.0,0.0,120.0,False,90.0,0
322826,9500019109481825,1,1,1,0,0.0,66.99,48.0,True,20.0,0
10971181,9500139510541825,1,1,1,1,196.99,211.99,6.0,True,4.0,0
15532377,9500234414351825,1,0,1,1,135.5,54.5,9.0,False,-21.0,0
7415763,9500101812181825,0,0,1,0,87.49,0.0,256.0,False,226.0,0
23134566,9600232687121825,1,0,0,0,10.0,0.0,9.0,False,-21.0,1
15919295,9600020735961825,1,1,1,0,129.99,24.0,32.0,False,2.0,1
9172568,9500120814161825,1,0,1,1,137.5,0.0,31.0,False,1.0,0
13609944,9500168154961825,1,0,1,1,135.5,15.5,29.0,False,-1.0,0
6419966,9500090631531825,1,0,1,1,126.45,26.0,54.0,False,24.0,0
11469520,9500145122441825,0,0,1,0,77.49,18.0,275.0,True,274.0,0
1249595,9500031737681825,1,0,1,0,0.0,0.0,32.0,True,20.0,0
20721366,9600130419051825,1,0,0,1,75.0,10.0,50.0,True,34.0,1
20285236,9600115810191825,1,0,1,0,0.0,0.0,55.0,True,45.0,1
19668648,9600101268081825,1,0,0,1,85.0,13.0,24.0,True,14.0,1
22471109,9600186544391825,1,0,1,0,0.0,0.0,7.0,True,-6.0,1
5499976,9500080353921825,0,0,1,0,0.0,0.0,53.0,True,32.0,0
15430009,9500227387811825,1,1,1,1,194.49,71.5,11.0,False,-19.0,0
5942040,9500085252441825,1,0,0,1,90.0,15.0,13.0,True,12.0,0
