,ID,Cardio_service,MMA_service,Cycling_service,HSI_unlimited,Total_Revenues_Package,Total_Discount_Promo,Duration,Observed,W,Province_Quebec
6597102,9500092735881825,1,1,1,1,201.99,123.0,13.0,True,11.0,0
2703338,9500047878971825,0,0,1,0,60.99,0.0,150.0,True,140.0,0
2435951,9500044735551825,1,0,1,1,95.0,0.0,14.0,True,10.0,0
7687374,9500104692821825,0,0,1,0,40.5,0.0,37.0,False,7.0,0
17486610,9600052294271825,1,1,1,1,189.48000000000002,52.0,269.0,False,239.0,1
15116480,9500215188121825,1,1,1,1,213.49,0.0,15.0,False,-15.0,0
21301186,9600145561741825,1,0,1,0,100.49000000000001,0.0,108.0,False,78.0,1
15712997,9500254742931825,1,0,0,1,103.0,18.0,0.0,False,-30.0,0
17517631,9600052597881825,0,0,1,0,3.0,0.0,268.0,False,238.0,1
21492722,9600150590201825,1,1,1,0,147.93,24.0,144.0,False,114.0,1
12096192,9500152485741825,1,0,1,1,140.49,22.0,311.0,False,281.0,0
6538105,9500091827141825,1,0,1,0,0.0,0.0,100.0,True,96.0,0
18021789,9600061133311825,0,0,1,0,17.0,0.0,362.0,False,332.0,1
21153748,9600141484101825,1,1,1,0,151.93,0.0,115.0,False,85.0,1
21483469,9600150497811825,1,0,1,0,0.0,0.0,346.0,True,333.0,1
4085248,9500064931551825,0,0,1,0,77.49,0.0,358.0,False,328.0,0
8621268,9500114806011825,1,0,0,1,103.95,18.0,182.0,False,152.0,0
12280013,9500154488441825,0,1,1,0,110.49000000000001,0.0,36.0,False,6.0,0
12643191,9500158713751825,0,0,1,0,25.0,0.0,10.0,True,6.0,0
5820331,9500084054391825,1,1,1,1,226.43,0.0,125.0,False,95.0,0
19537971,9600099631201825,1,1,1,1,134.94,67.0,6.0,True,2.0,1
18954752,9600083448351825,1,1,1,1,180.94,36.0,301.0,False,271.0,1
20397195,9600118577081825,1,1,1,1,137.44,70.5,72.0,True,42.0,1
22400349,9600182555671825,1,0,0,0,0.0,0.0,10.0,True,-4.0,1
19779053,9600104250691825,1,0,1,1,120.0,0.0,145.0,False,115.0,1
4536456,9500070610841825,1,1,1,1,174.99,86.99000000000001,21.0,True,7.0,0
5207556,9500077124541825,1,0,1,1,172.49,32.0,157.0,False,127.0,0
1024198,9500029665191825,1,1,1,1,211.49,61.0,464.0,True,462.0,0
4168256,9500065734021825,1,0,1,1,138.5,32.0,47.0,True,18.0,0
19992120,9600110262881825,1,1,1,0,153.93,0.0,358.0,False,328.0,1
3010130,9500051156191825,1,0,0,1,103.0,20.0,30.0,True,20.0,0
20824905,9600132255081825,1,1,1,0,140.93,0.0,93.0,True,81.0,1
16925315,9600034878451825,1,1,1,0,161.48000000000002,16.0,432.0,False,402.0,1
12036382,9500151327521825,1,0,1,0,101.0,25.0,23.0,True,7.0,0
7837969,9500106104551825,1,0,0,1,103.0,35.0,46.0,False,16.0,0
15712714,9500254592451825,1,0,1,1,182.5,12.5,0.0,False,-30.0,0
23171373,9600238498181825,1,0,1,1,111.45,35.0,7.0,False,-23.0,1
7945190,9500107456651825,1,0,1,0,143.44,0.0,427.0,False,397.0,0
6232825,9500088796821825,1,0,0,1,98.0,0.0,195.0,False,165.0,0
9254015,9500121588181825,1,0,1,0,0.0,76.0,12.0,True,1.0,0
10590243,9500135900921825,0,0,1,0,77.49,0.0,505.0,False,475.0,0
3389153,9500057016401825,0,0,1,0,77.49,0.0,414.0,False,384.0,0
2259552,9500043216221825,0,0,1,0,23.0,0.0,12.0,True,9.0,0
13745179,9500173884691825,1,0,1,1,140.5,58.5,12.0,True,-2.0,0
8680403,9500115428061825,1,0,0,1,80.95,0.0,95.0,False,65.0,0
14733522,9500202400611825,1,1,1,0,0.0,0.0,15.0,True,-11.0,0
3759949,9500061383621825,1,0,1,1,192.44,26.0,93.0,False,63.0,0
159479,9500017255931825,0,0,1,0,63.99,0.0,389.0,True,373.0,0
11682254,9500147611971825,0,0,1,0,77.49,0.0,192.0,False,162.0,0
8405719,9500112864871825,1,0,1,0,0.0,0.0,123.0,True,112.0,0
15383569,9500224928681825,1,1,0,1,141.99,47.0,11.0,False,-19.0,0
1830715,9500039326191825,0,0,1,0,25.0,0.0,30.0,False,0.0,0
15520913,9500233413611825,1,0,0,1,103.0,15.0,9.0,False,-21.0,0
15236723,9500219051671825,1,1,1,1,169.49,88.5,13.0,False,-17.0,0
11784343,9500148435161825,1,1,0,1,66.99,0.0,13.0,True,5.0,0
13106564,9500161976551825,1,1,1,0,159.49,36.0,202.0,False,172.0,0
22167585,9600168610511825,1,0,1,1,105.0,0.0,29.0,False,-1.0,1
6067134,9500086953101825,0,0,1,0,69.49,0.0,128.0,False,98.0,0
20539391,9600124723331825,0,0,1,0,2.99,0.0,118.0,False,88.0,1
21123143,9600140878401825,1,1,1,1,179.48000000000002,32.0,360.0,False,330.0,1
5886907,9500084698981825,1,0,0,1,113.0,20.0,203.0,False,173.0,0
4912397,9500073227751825,1,0,1,1,159.49,0.0,57.0,True,32.0,0
1382774,9500034031241825,1,0,1,1,167.44,0.0,59.0,False,29.0,0
1708067,9500038367521825,0,0,1,0,77.49,0.0,338.0,False,308.0,0
13653954,9500169512181825,1,0,1,1,138.5,43.0,29.0,False,-1.0,0
465807,9500021102581825,1,0,1,0,97.95,25.0,83.0,False,53.0,0
23227806,9600249525121825,1,0,0,1,85.95,15.95,2.0,False,-28.0,1
718929,9500024689041825,1,1,0,1,160.99,0.0,21.0,True,19.0,0
2155782,9500041997541825,1,0,0,1,0.0,0.0,19.0,True,11.0,0
5346711,9500078896251825,1,0,0,1,103.0,0.0,169.0,False,139.0,0
17571750,9600053132541825,1,1,1,1,176.94,48.0,363.0,False,333.0,1
8450194,9500113288751825,0,0,1,0,47.49,0.0,241.0,False,211.0,0
2426044,9500044653951825,1,0,0,0,75.95,0.0,44.0,True,33.0,0
14907182,9500207963931825,1,1,1,1,166.49,84.5,17.0,False,-13.0,0
408266,9500020303321825,1,1,1,1,175.44,18.0,182.0,False,152.0,0
276113,9500018574871825,1,1,1,0,211.43,0.0,434.0,False,404.0,0
12195170,9500153316771825,1,0,1,1,181.44,0.0,255.0,False,225.0,0
9534103,9500124493731825,0,1,0,0,56.99,0.0,61.0,False,31.0,0
7642154,9500104401921825,0,0,1,0,77.49,0.0,394.0,False,364.0,0
5096172,9500075652331825,1,0,1,0,104.95,0.0,44.0,True,43.0,0
3168679,9500054087821825,1,0,1,0,138.94,0.0,144.0,True,140.0,0
5683656,9500081764101825,1,0,0,1,93.0,0.0,115.0,False,85.0,0
5185457,9500076800241825,1,0,1,1,136.45,0.0,51.0,False,21.0,0
16418603,9600028721951825,1,1,1,0,112.44,22.0,432.0,False,402.0,1
4201043,9500066518771825,1,0,0,0,79.95,0.0,65.0,True,60.0,0
15676947,9500246717091825,1,1,1,1,67.99,33.0,3.0,True,-27.0,0
15561032,9500236164241825,0,1,1,0,0.0,0.0,8.0,False,-22.0,0
6504058,9500091370801825,0,0,1,0,37.99,0.0,330.0,True,319.0,0
19277263,9600091800141825,1,0,1,1,130.49,26.0,340.0,False,310.0,1
3315992,9500056338681825,1,0,0,1,0.0,0.0,18.0,True,10.0,0
2944099,9500050245061825,1,0,1,0,0.0,0.0,30.0,True,21.0,0
20362499,9600118007081825,0,1,1,0,47.989999999999995,0.0,54.0,False,24.0,1
12261777,9500154205531825,1,1,0,1,147.94,32.0,118.0,False,88.0,0
12801081,9500159811741825,1,1,1,1,238.43,0.0,145.0,False,115.0,0
5264954,9500077834221825,0,0,1,0,77.49,0.0,112.0,True,88.0,0
11429337,9500144635051825,1,1,1,1,190.49,36.0,11.0,True,2.0,0
11288696,9500143451991825,0,0,1,0,69.49,8.0,160.0,False,130.0,0
8470582,9500113585421825,1,0,1,1,146.44,0.0,229.0,False,199.0,0
15489779,9500231105271825,1,1,0,1,149.99,53.0,10.0,False,-20.0,0
15690394,9500248925031825,0,0,1,0,25.0,0.0,2.0,False,-28.0,0
12483231,9500157447961825,1,0,1,0,102.45,0.0,38.0,False,8.0,0
7376377,9500101504451825,1,0,1,1,149.5,44.0,37.0,False,7.0,0
3028847,9500051371261825,1,1,1,1,214.48,0.0,147.0,False,117.0,0
20465007,9600121457231825,0,0,1,0,47.49,0.0,203.0,False,173.0,1
17372219,9600050454761825,1,1,1,0,147.93,0.0,212.0,False,182.0,1
16719227,9600033044871825,1,0,1,1,114.95,0.0,199.0,True,188.0,1
16581968,9600031021961825,0,0,1,0,25.0,0.0,362.0,False,332.0,1
7134834,9500098156771825,1,0,0,1,95.0,30.0,49.0,True,32.0,0
3558756,9500058963411825,1,0,1,1,121.45,0.0,52.0,False,22.0,0
8977787,9500119173051825,1,1,1,1,229.48000000000002,104.99000000000001,64.0,False,34.0,0
11712447,9500147903521825,1,1,1,1,190.49,30.0,89.0,False,59.0,0
172097,9500017324901825,1,1,0,1,154.99,22.0,264.0,False,234.0,0
15544331,9500235116901825,1,1,0,1,159.99,55.0,8.0,False,-22.0,0
16121319,9600026022461825,0,0,1,0,47.49,0.0,77.0,False,47.0,1
18167241,9600064064871825,1,1,1,1,162.93,8.0,265.0,False,235.0,1
9548106,9500124675811825,1,0,1,1,144.5,0.0,36.0,False,6.0,0
1688461,9500038211011825,1,1,1,1,216.48000000000002,21.0,54.0,False,24.0,0
23215683,9600245959151825,1,0,0,1,85.95,15.95,3.0,False,-27.0,1
6245757,9500088885351825,1,0,1,0,0.0,0.0,63.0,True,34.0,0
15393698,9500225345601825,1,0,0,1,98.0,25.0,11.0,False,-19.0,0
18386023,9600068254051825,0,0,1,0,0.0,0.0,10.0,True,10.0,1
16064311,9600024170821825,1,1,1,1,128.44,0.0,96.0,False,66.0,1
11259151,9500143181471825,1,1,1,1,224.49,0.0,30.0,False,0.0,0
3501884,9500058084861825,0,0,1,0,44.99,0.0,225.0,True,196.0,0
13392148,9500165148001825,0,0,1,0,87.49,6.0,241.0,False,211.0,0
7028470,9500097136411825,1,1,1,1,187.49,75.0,229.0,False,199.0,0
14453674,9500193606561825,1,0,0,1,113.0,0.0,22.0,False,-8.0,0
10636926,9500136209981825,0,0,1,0,25.0,0.0,285.0,False,255.0,0
11358305,9500144038241825,1,0,1,1,125.5,32.0,157.0,False,127.0,0
9158913,9500120661021825,1,0,0,1,85.0,0.0,8.0,True,0.0,0
10795714,9500137580461825,1,0,1,1,155.45,0.0,66.0,False,36.0,0
15334273,9500222682841825,1,1,1,1,174.49,0.0,12.0,False,-18.0,0
13657887,9500169631061825,1,0,0,0,0.0,0.0,14.0,True,-1.0,0
1008103,9500029477821825,0,0,1,0,27.5,16.0,251.0,False,221.0,0
8924924,9500118320091825,0,0,1,0,77.49,0.0,265.0,False,235.0,0
13740361,9500173588191825,1,1,1,1,174.49,65.0,28.0,False,-2.0,0
642378,9500023459951825,1,0,1,1,185.44,0.0,128.0,True,110.0,0
9653523,9500126250141825,1,0,1,1,128.45,20.0,94.0,False,64.0,0
20659144,9600127767171825,1,1,1,1,183.93,0.0,362.0,False,332.0,1
5495926,9500080312921825,1,1,1,1,183.43,0.0,58.0,True,44.0,0
14817335,9500205154541825,1,1,0,1,159.99,57.0,18.0,False,-12.0,0
20037348,9600110697831825,1,1,1,1,174.43,36.0,134.0,False,104.0,1
693642,9500024430711825,1,0,1,1,160.5,55.5,50.0,False,20.0,0
12208884,9500153476571825,1,0,1,0,140.44,0.0,255.0,False,225.0,0
12349802,9500155668501825,1,0,0,1,98.95,0.0,22.0,True,18.0,0
4789070,9500072442011825,1,1,1,1,205.49,65.0,501.0,False,471.0,0
11273535,9500143336411825,1,0,0,1,98.0,0.0,31.0,False,1.0,0
19684766,9600101829911825,1,0,0,1,90.95,0.0,44.0,True,14.0,1
15623490,9500240813701825,1,1,0,1,146.99,50.0,6.0,False,-24.0,0
20979817,9600138709151825,1,1,1,0,146.93,0.0,114.0,False,84.0,1
17232481,9600046249901825,1,1,1,1,202.93,42.0,234.0,False,204.0,1
18271355,9600066069871825,1,1,1,0,152.93,25.0,208.0,True,204.0,1
22854786,9600209714251825,1,1,1,1,135.99,50.0,16.0,False,-14.0,1
8972754,9500119134371825,1,0,1,0,125.94,15.0,138.0,True,125.0,0
9528473,9500124413471825,0,0,1,0,45.0,0.0,10.0,True,9.0,0
23000750,9600217862021825,1,0,0,0,0.0,0.0,13.0,True,-16.0,1
17805526,9600058124461825,1,0,1,0,94.45,0.0,363.0,False,333.0,1
13307193,9500164508231825,1,1,1,1,231.49,0.0,31.0,False,1.0,0
23009645,9600218503881825,1,1,1,1,165.99,61.0,14.0,False,-16.0,1
3485826,9500057894961825,1,0,0,0,0.0,0.0,226.0,True,199.0,0
16118023,9600025896821825,0,1,1,0,59.5,0.0,64.0,False,34.0,1
4036790,9500064540821825,1,1,1,1,238.43,60.0,242.0,False,212.0,0
6224288,9500088652361825,0,1,1,0,126.47999999999999,0.0,195.0,False,165.0,0
22218852,9600172978181825,1,1,1,1,150.99,37.0,11.0,True,-2.0,1
3157300,9500054001851825,1,1,0,0,116.99000000000001,20.0,151.0,False,121.0,0
17136216,9600039968451825,1,1,1,1,101.95,10.0,87.0,True,73.0,1
6386032,9500090197591825,1,0,1,1,123.5,20.0,36.0,False,6.0,0
10826463,9500137871101825,1,1,1,1,267.43,0.0,65.0,False,35.0,0
11567788,9500146380151825,0,0,1,0,69.49,0.0,84.0,False,54.0,0
11395394,9500144327811825,1,0,0,1,85.0,35.0,11.0,True,8.0,0
22790369,9600206026321825,0,1,1,0,78.99000000000001,28.0,18.0,False,-12.0,1
5888035,9500084709791825,1,1,0,1,165.94,30.0,30.0,True,29.0,0
9314759,9500122324071825,1,0,0,1,93.0,0.0,69.0,False,39.0,0
23228414,9600249862051825,1,1,1,1,145.99,48.0,2.0,False,-28.0,1
14075482,9500183443701825,1,0,0,1,103.0,0.0,25.0,False,-5.0,0
7525759,9500102919261825,1,1,1,0,0.0,0.0,31.0,True,29.0,0
14980405,9500210426721825,0,1,1,0,68.99000000000001,16.0,16.0,False,-14.0,0
9591003,9500125246211825,0,0,1,0,45.0,0.0,7.0,True,3.0,0
20389233,9600118446561825,1,0,1,1,105.0,65.0,65.0,False,35.0,1
14756921,9500203159621825,0,1,0,0,0.0,0.0,5.0,True,-11.0,0
15582968,9500237607271825,1,0,0,0,0.0,0.0,5.0,True,-23.0,0
20148863,9600113182971825,1,0,1,0,0.0,0.0,103.0,True,81.0,1
14103834,9500184109811825,1,1,1,0,0.0,0.0,21.0,True,-5.0,0
14861949,9500206538341825,1,0,0,1,93.0,0.0,17.0,False,-13.0,0
12204828,9500153444491825,1,0,1,1,158.44,32.0,73.0,False,43.0,0
16280027,9600027500861825,1,1,1,1,184.48000000000002,47.0,360.0,False,330.0,1
10963694,9500139400321825,1,0,0,1,103.0,28.0,67.0,False,37.0,0
7374716,9500101492561825,1,1,1,1,192.93,0.0,153.0,False,123.0,0
8958674,9500119004001825,0,1,1,0,108.49000000000001,0.0,64.0,False,34.0,0
22475808,9600186817881825,1,1,1,0,0.0,0.0,3.0,True,-6.0,1
8416325,9500112920971825,0,0,1,0,77.49,0.0,283.0,False,253.0,0
7035735,9500097252151825,0,0,1,0,77.49,0.0,130.0,False,100.0,0
3334570,9500056525381825,1,1,1,1,234.48000000000002,48.0,252.0,False,222.0,0
12380085,9500156190631825,1,1,1,1,188.44,26.0,45.0,False,15.0,0
839370,9500025803691825,1,0,0,1,103.0,16.0,39.0,False,9.0,0
15434899,9500227677491825,1,1,1,0,0.0,0.0,7.0,True,-19.0,0
19565770,9600100015631825,0,0,1,0,55.49,0.0,95.0,False,65.0,1
15068353,9500213523941825,1,1,0,1,146.99,61.0,15.0,False,-15.0,0
9359629,9500122798121825,1,1,1,1,236.43,0.0,95.0,False,65.0,0
15189168,9500217571961825,1,0,0,1,113.0,25.0,14.0,False,-16.0,0
22715185,9600201464651825,1,1,1,1,137.94,48.0,19.0,False,-11.0,1
1446700,9500036013961825,0,1,1,0,145.48,32.0,404.0,False,374.0,0
13666919,9500169898381825,1,0,1,1,143.5,0.0,29.0,False,-1.0,0
3898060,9500063070581825,1,1,1,1,344.93,107.5,203.0,False,173.0,0
5452257,9500079933441825,1,0,1,1,151.5,32.0,106.0,False,76.0,0
10668971,9500136425621825,1,1,1,1,200.49,60.0,39.0,False,9.0,0
17965014,9600060070041825,1,0,1,1,115.0,40.0,379.0,False,349.0,1
4714452,9500071962601825,1,0,1,1,181.44,32.0,341.0,False,311.0,0
5178860,9500076749511825,1,0,0,1,98.0,0.0,159.0,False,129.0,0
19257498,9600091641741825,1,1,1,0,149.93,0.0,363.0,False,333.0,1
23228891,9600250083891825,1,1,1,1,158.99,52.0,2.0,False,-28.0,1
21453487,9600150132251825,1,0,1,0,0.0,0.0,72.0,True,63.0,1
1856167,9500039576241825,1,0,0,1,100.95,0.0,37.0,True,23.0,0
11765414,9500148301411825,1,0,0,1,206.0,0.0,87.0,False,57.0,0
20432712,9600120617481825,0,1,1,0,107.98,12.0,107.0,False,77.0,1
15163042,9500216708781825,1,0,0,1,98.0,0.0,14.0,False,-16.0,0
14754020,9500203053691825,0,0,1,0,0.0,0.0,12.0,True,-11.0,0
19922752,9600108539301825,1,0,0,1,75.0,0.0,356.0,False,326.0,1
3745233,9500061247841825,0,0,1,0,8.0,0.0,118.0,False,88.0,0
15490186,9500231147351825,1,1,0,1,146.99,47.0,10.0,False,-20.0,0
19938156,9600108965661825,0,1,0,0,0.0,0.0,47.0,True,26.0,1
21288633,9600145093141825,0,1,0,0,34.99,5.0,29.0,True,15.0,1
15918636,9600020730671825,1,1,0,1,143.94,0.0,33.0,False,3.0,1
7790717,9500105607421825,0,0,1,0,69.49,0.0,97.0,False,67.0,0
20613970,9600126698131825,1,0,0,1,86.45,18.0,143.0,False,113.0,1
10173352,9500131623481825,1,1,1,1,234.49,50.0,64.0,False,34.0,0
15045877,9500212697051825,1,0,0,0,0.0,0.0,4.0,True,-15.0,0
21691792,9600153812181825,1,0,0,1,85.0,5.0,20.0,True,7.0,1
1303158,9500032472161825,1,0,1,0,121.45,28.0,48.0,False,18.0,0
8817669,9500117000161825,0,0,1,0,88.49,0.0,195.0,False,165.0,0
8173682,9500109649511825,1,1,1,1,218.43,36.0,359.0,False,329.0,0
20239270,9600115200581825,1,1,1,0,122.94,0.0,265.0,False,235.0,1
4471978,9500070037481825,0,0,1,0,63.99,10.0,129.0,True,116.0,0
5185290,9500076798691825,0,1,1,0,81.99000000000001,0.0,52.0,False,22.0,0
15848872,9600018785571825,1,1,1,0,0.0,10.0,15.0,True,12.0,1
464719,9500021008381825,1,1,1,1,194.49,82.0,85.0,True,80.0,0
14076561,9500183468621825,1,0,1,1,156.5,43.0,25.0,False,-5.0,0
8375489,9500112643441825,1,0,0,1,114.95,0.0,143.0,False,113.0,0
15464150,9500229361201825,1,1,1,1,169.49,59.5,10.0,False,-20.0,0
11221121,9500142703481825,1,0,1,1,190.49,0.0,109.0,False,79.0,0
13077070,9500161801231825,1,0,1,0,143.44,0.0,212.0,False,182.0,0
20517323,9600124260651825,1,0,0,1,86.45,6.0,68.0,False,38.0,1
19165770,9600088380751825,1,0,1,1,115.49000000000001,20.0,71.0,False,41.0,1
20801790,9600131549221825,1,1,1,0,177.48000000000002,39.0,298.0,False,268.0,1
14387528,9500191659721825,0,0,1,0,0.0,0.0,9.0,True,-7.0,0
15156023,9500216476521825,1,1,1,0,0.0,0.0,3.0,True,-16.0,0
23106596,9600227967881825,1,0,1,1,123.95,59.0,11.0,False,-19.0,1
15102203,9500214717561825,1,1,1,1,197.49,70.0,15.0,False,-15.0,0
16008141,9600022684691825,1,1,1,0,0.0,0.0,91.0,True,64.0,1
19996333,9600110284901825,1,1,1,0,136.93,0.0,252.0,False,222.0,1
15710400,9500253553931825,1,0,0,1,113.0,23.0,1.0,False,-29.0,0
13508295,9500166020841825,1,0,0,1,113.0,25.0,133.0,False,103.0,0
327606,9500019153681825,1,0,0,1,90.0,5.0,22.0,True,20.0,0
21677796,9600153523911825,1,1,0,1,183.94,45.95,116.0,True,111.0,1
18440246,9600068817211825,0,0,1,0,0.0,0.0,432.0,False,402.0,1
15599685,9500238779681825,1,1,1,1,219.49,74.5,7.0,False,-23.0,0
17740507,9600056471311825,1,0,0,1,80.0,20.0,30.0,False,0.0,1
15713842,9500255208551825,0,0,1,0,32.5,0.0,0.0,False,-30.0,0
3527816,9500058446631825,1,0,0,1,98.0,0.0,142.0,False,112.0,0
6055599,9500086864671825,1,0,0,1,105.0,40.0,44.0,True,20.0,0
13962385,9500180891651825,0,1,1,0,100.49,0.0,26.0,False,-4.0,0
8587700,9500114519331825,1,1,1,0,200.43,7.0,224.0,False,194.0,0
22182953,9600169583601825,1,1,0,0,0.0,0.0,1.0,True,-1.0,1
17413123,9600051241641825,1,1,1,0,149.93,0.0,326.0,False,296.0,1
17798009,9600057978291825,0,0,1,0,0.0,0.0,68.0,False,38.0,1
4877408,9500073002841825,1,0,1,1,118.0,16.0,503.0,False,473.0,0
15639718,9500242099481825,1,0,0,0,83.0,13.0,5.0,False,-25.0,0
21059597,9600140194621825,0,1,1,0,0.0,0.0,151.0,True,139.0,1
15509748,9500232473291825,1,1,1,1,194.49,57.5,9.0,False,-21.0,0
20678153,9600129576221825,1,1,1,1,191.93,36.0,363.0,False,333.0,1
18250110,9600065928071825,1,1,1,0,0.0,0.0,378.0,True,367.0,1
11633769,9500147183791825,1,0,1,0,80.95,0.0,108.0,False,78.0,0
15645536,9500242627311825,1,0,1,1,150.5,63.5,5.0,False,-25.0,0
5789111,9500083793111825,1,0,0,1,100.0,0.0,218.0,True,195.0,0
12177916,9500153182861825,0,1,1,0,0.0,0.0,65.0,True,52.0,0
19249929,9600091577981825,1,1,1,0,146.93,0.0,369.0,False,339.0,1
13199122,9500163218751825,1,1,1,1,238.48,64.0,75.0,False,45.0,0
11858031,9500148924301825,1,1,1,0,211.93,30.0,249.0,True,237.0,0
22747640,9600203498951825,1,1,1,1,158.99,81.0,18.0,False,-12.0,1
16813439,9600033914501825,1,0,1,0,81.45,24.0,356.0,False,326.0,1
20113042,9600112057831825,1,1,1,0,107.44,24.0,163.0,False,133.0,1
8550205,9500114244191825,1,1,1,0,209.48,46.0,183.0,False,153.0,0
11098661,9500141079461825,1,1,1,0,0.0,0.0,138.0,True,113.0,0
5704918,9500082010691825,1,1,1,0,201.43,0.0,77.0,False,47.0,0
16615100,9600031662741825,1,1,1,0,145.93,0.0,259.0,False,229.0,1
15677506,9500246807671825,1,1,1,1,207.49,78.5,3.0,False,-27.0,0
14866506,9500206670571825,1,1,0,1,169.99,35.0,17.0,False,-13.0,0
13389576,9500165128201825,1,0,1,0,128.94,35.0,53.0,True,44.0,0
11346122,9500143943791825,1,0,0,1,103.95,0.0,40.0,False,10.0,0
5661959,9500081611561825,0,0,1,0,69.49,0.0,183.0,False,153.0,0
16758101,9600033361251825,1,1,1,1,166.94,0.0,364.0,False,334.0,1
12281810,9500154501621825,1,1,1,1,141.99,0.0,36.0,False,6.0,0
6236549,9500088819511825,1,1,1,0,143.94,0.0,193.0,False,163.0,0
12810399,9500159882601825,0,1,0,0,0.0,0.0,24.0,True,10.0,0
1696180,9500038289811825,1,0,0,1,103.0,0.0,134.0,False,104.0,0
464546,9500021005981825,1,0,1,1,93.0,20.0,109.0,False,79.0,0
10449947,9500134817141825,1,0,1,1,136.45,0.0,32.0,False,2.0,0
4472293,9500070039951825,1,0,0,1,114.95,0.0,146.0,False,116.0,0
17390017,9600050672981825,1,1,1,1,189.93,30.0,363.0,False,333.0,1
15688683,9500248597181825,1,0,0,1,103.0,18.0,2.0,False,-28.0,0
23237305,9600255897501825,0,1,1,0,85.99000000000001,22.0,0.0,False,-30.0,1
3246254,9500055251971825,1,0,0,1,103.0,0.0,82.0,True,70.0,0
17112928,9600037689621825,1,0,1,1,109.45,26.5,173.0,False,143.0,1
17348675,9600050097041825,1,1,1,0,146.93,0.0,222.0,False,192.0,1
15595387,9500238491241825,1,0,0,1,98.0,23.0,7.0,False,-23.0,0
11768277,9500148318261825,1,0,1,1,139.95,0.0,326.0,False,296.0,0
19365303,9600092877851825,1,0,1,1,152.94,0.0,160.0,False,130.0,1
11937514,9500149661681825,1,0,1,0,90.95,0.0,116.0,True,115.0,0
21436422,9600149971051825,1,1,1,0,126.99000000000001,16.0,46.0,False,16.0,1
21424159,9600149830711825,1,1,1,0,130.99,36.0,93.0,False,63.0,1
15643228,9500242399861825,1,0,0,1,103.0,43.0,5.0,False,-25.0,0
23151822,9600235603991825,1,0,0,1,83.45,0.0,8.0,False,-22.0,1
21003244,9600139021971825,1,1,1,0,0.0,0.0,113.0,True,84.0,1
15335785,9500222744231825,1,0,0,1,98.0,20.0,12.0,False,-18.0,0
18829992,9600082392091825,1,0,0,1,73.95,14.0,8.0,True,7.0,1
13679718,9500170387001825,1,0,1,0,0.0,0.0,13.0,True,-1.0,0
14445394,9500193317151825,0,0,1,0,0.0,0.0,0.0,True,-8.0,0
13695210,9500170872771825,0,0,1,0,0.0,0.0,27.0,True,-1.0,0
16253686,9600027305261825,0,1,1,0,0.0,0.0,342.0,True,330.0,1
23049680,9600221747621825,0,0,1,0,23.0,17.0,13.0,False,-17.0,1
10030203,9500129973971825,1,0,1,1,148.0,0.0,20.0,True,8.0,0
3804158,9500062021351825,1,0,1,1,0.0,0.0,25.0,True,17.0,0
3212934,9500054572921825,1,0,1,1,155.44,0.0,61.0,False,31.0,0
10712266,9500136761231825,1,0,1,1,118.0,0.0,40.0,False,10.0,0
11307963,9500143628891825,1,1,1,1,202.43,0.0,160.0,False,130.0,0
22371732,9600181078261825,1,0,1,0,0.0,56.0,7.0,True,-4.0,1
20835256,9600132497301825,1,0,1,1,25.0,0.0,66.0,False,36.0,1
19575964,9600100140461825,1,0,0,0,72.95,0.0,18.0,True,2.0,1
14260980,9500188178051825,0,0,1,0,0.0,0.0,22.0,True,-6.0,0
1707007,9500038362571825,1,1,0,1,182.94,0.0,502.0,False,472.0,0
16661574,9600032340561825,0,1,1,0,79.99000000000001,0.0,52.0,False,22.0,1
16061043,9600024092611825,1,0,1,0,76.45,50.0,40.0,False,10.0,1
15701870,9500251372211825,1,0,0,1,103.0,23.0,1.0,False,-29.0,0
16300403,9600027663551825,1,0,1,1,130.49,15.0,200.0,False,170.0,1
2619186,9500047071761825,1,1,1,1,182.49,56.5,68.0,False,38.0,0
9354846,9500122765781825,0,0,1,0,77.49,0.0,190.0,False,160.0,0
18015714,9600061103291825,1,1,1,0,147.93,36.0,362.0,False,332.0,1
20707043,9600130120131825,1,0,1,0,125.49000000000001,0.0,248.0,False,218.0,1
3383246,9500056964511825,1,1,1,1,35.0,0.0,158.0,False,128.0,0
14740532,9500202627681825,1,0,0,1,113.0,15.0,19.0,False,-11.0,0
15990829,9600022338361825,0,1,1,0,79.99000000000001,45.0,178.0,False,148.0,1
22734650,9600202699371825,1,0,1,1,105.0,0.0,19.0,False,-11.0,1
3441810,9500057374531825,1,1,1,1,167.49,0.0,365.0,False,335.0,0
13214390,9500163666721825,1,0,1,1,181.44,44.0,67.0,False,37.0,0
3340787,9500056571561825,1,1,1,0,170.43,0.0,86.0,True,59.0,0
12548763,9500157965071825,1,0,1,1,95.0,0.0,15.0,True,6.0,0
22996458,9600217577811825,1,0,1,1,116.0,32.0,14.0,False,-16.0,1
794469,9500025394151825,1,1,1,1,214.99,14.0,485.0,False,455.0,0
21408039,9600149409981825,0,1,1,0,87.99000000000001,0.0,151.0,False,121.0,1
15714098,9500255343511825,1,1,1,1,216.49,48.0,0.0,False,-30.0,0
7015463,9500097054151825,1,1,1,1,182.99,86.0,24.0,True,2.0,0
7806853,9500105767891825,1,1,1,1,169.49,22.0,102.0,False,72.0,0
